stid	a1	a2	a3	a4	a5	a6	a7
Eclo-ST-35	Eclo-gyrB-42	Eclo-dnaA-31	Eclo-rpoB-28	Eclo-leuS-31	Eclo-fusA-19	Eclo-pyrG-33	Eclo-rplB-17
Eclo-ST-36	Eclo-gyrB-22	Eclo-dnaA-32	Eclo-rpoB-28	Eclo-leuS-31	Eclo-fusA-12	Eclo-pyrG-31	Eclo-rplB-8
Eclo-ST-37	Eclo-gyrB-34	Eclo-dnaA-33	Eclo-rpoB-29	Eclo-leuS-28	Eclo-fusA-19	Eclo-pyrG-32	Eclo-rplB-8
Eclo-ST-38	Eclo-gyrB-33	Eclo-dnaA-34	Eclo-rpoB-31	Eclo-leuS-32	Eclo-fusA-18	Eclo-pyrG-30	Eclo-rplB-8
Eclo-ST-39	Eclo-gyrB-35	Eclo-dnaA-35	Eclo-rpoB-20	Eclo-leuS-47	Eclo-fusA-25	Eclo-pyrG-48	Eclo-rplB-12
Eclo-ST-40	Eclo-gyrB-36	Eclo-dnaA-36	Eclo-rpoB-20	Eclo-leuS-49	Eclo-fusA-26	Eclo-pyrG-50	Eclo-rplB-12
Eclo-ST-41	Eclo-gyrB-49	Eclo-dnaA-37	Eclo-rpoB-20	Eclo-leuS-30	Eclo-fusA-25	Eclo-pyrG-49	Eclo-rplB-21
Eclo-ST-42	Eclo-gyrB-37	Eclo-dnaA-38	Eclo-rpoB-20	Eclo-leuS-46	Eclo-fusA-28	Eclo-pyrG-49	Eclo-rplB-14
Eclo-ST-43	Eclo-gyrB-50	Eclo-dnaA-39	Eclo-rpoB-26	Eclo-leuS-48	Eclo-fusA-27	Eclo-pyrG-49	Eclo-rplB-12
Eclo-ST-44	Eclo-gyrB-13	Eclo-dnaA-4	Eclo-rpoB-6	Eclo-leuS-38	Eclo-fusA-23	Eclo-pyrG-37	Eclo-rplB-4
Eclo-ST-45	Eclo-gyrB-14	Eclo-dnaA-4	Eclo-rpoB-6	Eclo-leuS-6	Eclo-fusA-4	Eclo-pyrG-39	Eclo-rplB-4
Eclo-ST-46	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-6	Eclo-leuS-13	Eclo-fusA-4	Eclo-pyrG-39	Eclo-rplB-4
Eclo-ST-47	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-25	Eclo-leuS-39	Eclo-fusA-4	Eclo-pyrG-39	Eclo-rplB-19
Eclo-ST-48	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-25	Eclo-leuS-39	Eclo-fusA-4	Eclo-pyrG-41	Eclo-rplB-4
Eclo-ST-49	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-23	Eclo-leuS-40	Eclo-fusA-4	Eclo-pyrG-38	Eclo-rplB-4
Eclo-ST-50	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-25	Eclo-leuS-6	Eclo-fusA-4	Eclo-pyrG-37	Eclo-rplB-4
Eclo-ST-51	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-6	Eclo-leuS-6	Eclo-fusA-4	Eclo-pyrG-37	Eclo-rplB-4
Eclo-ST-52	Eclo-gyrB-18	Eclo-dnaA-4	Eclo-rpoB-25	Eclo-leuS-43	Eclo-fusA-8	Eclo-pyrG-40	Eclo-rplB-4
Eclo-ST-53	Eclo-gyrB-39	Eclo-dnaA-40	Eclo-rpoB-10	Eclo-leuS-15	Eclo-fusA-17	Eclo-pyrG-46	Eclo-rplB-11
Eclo-ST-54	Eclo-gyrB-54	Eclo-dnaA-41	Eclo-rpoB-17	Eclo-leuS-37	Eclo-fusA-3	Eclo-pyrG-3	Eclo-rplB-15
Eclo-ST-55	Eclo-gyrB-52	Eclo-dnaA-42	Eclo-rpoB-3	Eclo-leuS-37	Eclo-fusA-11	Eclo-pyrG-23	Eclo-rplB-16
Eclo-ST-56	Eclo-gyrB-52	Eclo-dnaA-42	Eclo-rpoB-3	Eclo-leuS-37	Eclo-fusA-3	Eclo-pyrG-23	Eclo-rplB-16
Eclo-ST-57	Eclo-gyrB-51	Eclo-dnaA-43	Eclo-rpoB-19	Eclo-leuS-36	Eclo-fusA-3	Eclo-pyrG-18	Eclo-rplB-16
Eclo-ST-58	Eclo-gyrB-12	Eclo-dnaA-44	Eclo-rpoB-6	Eclo-leuS-9	Eclo-fusA-32	Eclo-pyrG-35	Eclo-rplB-6
Eclo-ST-59	Eclo-gyrB-31	Eclo-dnaA-45	Eclo-rpoB-27	Eclo-leuS-56	Eclo-fusA-27	Eclo-pyrG-25	Eclo-rplB-11
Eclo-ST-60	Eclo-gyrB-19	Eclo-dnaA-46	Eclo-rpoB-6	Eclo-leuS-44	Eclo-fusA-20	Eclo-pyrG-45	Eclo-rplB-12
Eclo-ST-61	Eclo-gyrB-16	Eclo-dnaA-47	Eclo-rpoB-7	Eclo-leuS-51	Eclo-fusA-8	Eclo-pyrG-44	Eclo-rplB-6
Eclo-ST-62	Eclo-gyrB-15	Eclo-dnaA-48	Eclo-rpoB-9	Eclo-leuS-42	Eclo-fusA-4	Eclo-pyrG-39	Eclo-rplB-4
Eclo-ST-63	Eclo-gyrB-19	Eclo-dnaA-49	Eclo-rpoB-32	Eclo-leuS-45	Eclo-fusA-20	Eclo-pyrG-45	Eclo-rplB-4
Eclo-ST-64	Eclo-gyrB-17	Eclo-dnaA-50	Eclo-rpoB-32	Eclo-leuS-44	Eclo-fusA-20	Eclo-pyrG-45	Eclo-rplB-12
Eclo-ST-65	Eclo-gyrB-21	Eclo-dnaA-51	Eclo-rpoB-6	Eclo-leuS-41	Eclo-fusA-4	Eclo-pyrG-42	Eclo-rplB-4
Eclo-ST-66	Eclo-gyrB-20	Eclo-dnaA-52	Eclo-rpoB-6	Eclo-leuS-44	Eclo-fusA-21	Eclo-pyrG-45	Eclo-rplB-4
Eclo-ST-67	Eclo-gyrB-5	Eclo-dnaA-7	Eclo-rpoB-7	Eclo-leuS-7	Eclo-fusA-34	Eclo-pyrG-15	Eclo-rplB-6
Eclo-ST-68	Eclo-gyrB-5	Eclo-dnaA-7	Eclo-rpoB-7	Eclo-leuS-7	Eclo-fusA-8	Eclo-pyrG-15	Eclo-rplB-6
Eclo-ST-69	Eclo-gyrB-5	Eclo-dnaA-7	Eclo-rpoB-7	Eclo-leuS-7	Eclo-fusA-8	Eclo-pyrG-8	Eclo-rplB-6
Eclo-ST-70	Eclo-gyrB-11	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-9	Eclo-fusA-33	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-71	Eclo-gyrB-6	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-11	Eclo-fusA-33	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-72	Eclo-gyrB-6	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-14	Eclo-fusA-33	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-73	Eclo-gyrB-6	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-9	Eclo-fusA-33	Eclo-pyrG-12	Eclo-rplB-6
Eclo-ST-74	Eclo-gyrB-6	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-9	Eclo-fusA-33	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-75	Eclo-gyrB-7	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-9	Eclo-fusA-33	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-76	Eclo-gyrB-10	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-9	Eclo-fusA-9	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-77	Eclo-gyrB-6	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-8	Eclo-fusA-9	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-78	Eclo-gyrB-6	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-9	Eclo-fusA-9	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-79	Eclo-gyrB-14	Eclo-dnaA-9	Eclo-rpoB-9	Eclo-leuS-6	Eclo-fusA-22	Eclo-pyrG-39	Eclo-rplB-4
Eclo-ST-80	Eclo-gyrB-14	Eclo-dnaA-9	Eclo-rpoB-9	Eclo-leuS-6	Eclo-fusA-4	Eclo-pyrG-11	Eclo-rplB-4
Eclo-ST-81	Eclo-gyrB-15	Eclo-dnaA-9	Eclo-rpoB-24	Eclo-leuS-13	Eclo-fusA-4	Eclo-pyrG-43	Eclo-rplB-4
Eclo-ST-82	Eclo-gyrB-14	Eclo-dnaA-9	Eclo-rpoB-6	Eclo-leuS-10	Eclo-fusA-6	Eclo-pyrG-11	Eclo-rplB-4
Eclo-ST-83	Eclo-gyrB-8	Eclo-dnaA-9	Eclo-rpoB-6	Eclo-leuS-6	Eclo-fusA-6	Eclo-pyrG-10	Eclo-rplB-4
Eclo-ST-84	Eclo-gyrB-61	Eclo-dnaA-60	Eclo-rpoB-1	Eclo-leuS-1	Eclo-fusA-1	Eclo-pyrG-36	Eclo-rplB-22
Eclo-ST-85	Eclo-gyrB-55	Eclo-dnaA-59	Eclo-rpoB-6	Eclo-leuS-9	Eclo-fusA-9	Eclo-pyrG-58	Eclo-rplB-6
Eclo-ST-86	Eclo-gyrB-57	Eclo-dnaA-8	Eclo-rpoB-8	Eclo-leuS-9	Eclo-fusA-9	Eclo-pyrG-9	Eclo-rplB-6
Eclo-ST-87	Eclo-gyrB-58	Eclo-dnaA-43	Eclo-rpoB-34	Eclo-leuS-35	Eclo-fusA-3	Eclo-pyrG-23	Eclo-rplB-16
Eclo-ST-88	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-6	Eclo-leuS-62	Eclo-fusA-4	Eclo-pyrG-59	Eclo-rplB-4
Eclo-ST-89	Eclo-gyrB-4	Eclo-dnaA-54	Eclo-rpoB-6	Eclo-leuS-6	Eclo-fusA-37	Eclo-pyrG-57	Eclo-rplB-4
Eclo-ST-90	Eclo-gyrB-4	Eclo-dnaA-58	Eclo-rpoB-25	Eclo-leuS-6	Eclo-fusA-37	Eclo-pyrG-42	Eclo-rplB-4
Eclo-ST-91	Eclo-gyrB-4	Eclo-dnaA-58	Eclo-rpoB-25	Eclo-leuS-6	Eclo-fusA-37	Eclo-pyrG-11	Eclo-rplB-4
Eclo-ST-92	Eclo-gyrB-19	Eclo-dnaA-52	Eclo-rpoB-32	Eclo-leuS-44	Eclo-fusA-20	Eclo-pyrG-45	Eclo-rplB-12
Eclo-ST-93	Eclo-gyrB-14	Eclo-dnaA-9	Eclo-rpoB-9	Eclo-leuS-61	Eclo-fusA-4	Eclo-pyrG-37	Eclo-rplB-4
Eclo-ST-94	Eclo-gyrB-56	Eclo-dnaA-55	Eclo-rpoB-6	Eclo-leuS-59	Eclo-fusA-36	Eclo-pyrG-60	Eclo-rplB-4
Eclo-ST-95	Eclo-gyrB-35	Eclo-dnaA-56	Eclo-rpoB-20	Eclo-leuS-58	Eclo-fusA-38	Eclo-pyrG-61	Eclo-rplB-12
Eclo-ST-96	Eclo-gyrB-49	Eclo-dnaA-57	Eclo-rpoB-20	Eclo-leuS-57	Eclo-fusA-39	Eclo-pyrG-49	Eclo-rplB-12
Eclo-ST-97	Eclo-gyrB-62	Eclo-dnaA-59	Eclo-rpoB-6	Eclo-leuS-9	Eclo-fusA-9	Eclo-pyrG-62	Eclo-rplB-25
Eclo-ST-98	Eclo-gyrB-19	Eclo-dnaA-49	Eclo-rpoB-32	Eclo-leuS-44	Eclo-fusA-20	Eclo-pyrG-64	Eclo-rplB-24
Eclo-ST-99	Eclo-gyrB-60	Eclo-dnaA-41	Eclo-rpoB-3	Eclo-leuS-60	Eclo-fusA-3	Eclo-pyrG-63	Eclo-rplB-16
Eclo-ST-100	Eclo-gyrB-12	Eclo-dnaA-59	Eclo-rpoB-6	Eclo-leuS-9	Eclo-fusA-40	Eclo-pyrG-35	Eclo-rplB-6
Eclo-ST-101	Eclo-gyrB-75	Eclo-dnaA-68	Eclo-rpoB-35	Eclo-leuS-63	Eclo-fusA-8	Eclo-pyrG-65	Eclo-rplB-23
