stid	a1	a2	a3	a4	a5	a6	a7
Sent-ST-1042	Sent-HISD-42	Sent-HEMD-25	Sent-THRA-4	Sent-SUCA-71	Sent-AROC-180	Sent-PURE-409	Sent-DNAN-26
Sent-ST-1043	Sent-HISD-14	Sent-HEMD-121	Sent-THRA-1	Sent-SUCA-183	Sent-AROC-188	Sent-PURE-382	Sent-DNAN-112
Sent-ST-1044	Sent-HISD-96	Sent-HEMD-79	Sent-THRA-321	Sent-SUCA-109	Sent-AROC-19	Sent-PURE-100	Sent-DNAN-129
Sent-ST-1045	Sent-HISD-438	Sent-HEMD-18	Sent-THRA-170	Sent-SUCA-347	Sent-AROC-19	Sent-PURE-2	Sent-DNAN-347
Sent-ST-1046	Sent-HISD-22	Sent-HEMD-186	Sent-THRA-91	Sent-SUCA-24	Sent-AROC-191	Sent-PURE-250	Sent-DNAN-22
Sent-ST-1047	Sent-HISD-284	Sent-HEMD-80	Sent-THRA-25	Sent-SUCA-366	Sent-AROC-191	Sent-PURE-18	Sent-DNAN-370
Sent-ST-1048	Sent-HISD-22	Sent-HEMD-187	Sent-THRA-222	Sent-SUCA-260	Sent-AROC-191	Sent-PURE-280	Sent-DNAN-77
Sent-ST-1049	Sent-HISD-235	Sent-HEMD-79	Sent-THRA-22	Sent-SUCA-193	Sent-AROC-199	Sent-PURE-192	Sent-DNAN-107
Sent-ST-1050	Sent-HISD-127	Sent-HEMD-23	Sent-THRA-217	Sent-SUCA-224	Sent-AROC-2	Sent-PURE-96	Sent-DNAN-13
Sent-ST-1051	Sent-HISD-127	Sent-HEMD-23	Sent-THRA-217	Sent-SUCA-6	Sent-AROC-2	Sent-PURE-96	Sent-DNAN-13
Sent-ST-1052	Sent-HISD-274	Sent-HEMD-23	Sent-THRA-217	Sent-SUCA-224	Sent-AROC-2	Sent-PURE-96	Sent-DNAN-13
Sent-ST-1053	Sent-HISD-401	Sent-HEMD-8	Sent-THRA-339	Sent-SUCA-9	Sent-AROC-2	Sent-PURE-8	Sent-DNAN-134
Sent-ST-1054	Sent-HISD-138	Sent-HEMD-268	Sent-THRA-12	Sent-SUCA-139	Sent-AROC-2	Sent-PURE-130	Sent-DNAN-15
Sent-ST-1055	Sent-HISD-397	Sent-HEMD-235	Sent-THRA-332	Sent-SUCA-9	Sent-AROC-2	Sent-PURE-64	Sent-DNAN-316
Sent-ST-1056	Sent-HISD-110	Sent-HEMD-26	Sent-THRA-104	Sent-SUCA-9	Sent-AROC-2	Sent-PURE-389	Sent-DNAN-354
Sent-ST-1057	Sent-HISD-88	Sent-HEMD-22	Sent-THRA-338	Sent-SUCA-22	Sent-AROC-2	Sent-PURE-36	Sent-DNAN-4
Sent-ST-1058	Sent-HISD-64	Sent-HEMD-254	Sent-THRA-12	Sent-SUCA-19	Sent-AROC-2	Sent-PURE-38	Sent-DNAN-59
Sent-ST-1059	Sent-HISD-364	Sent-HEMD-21	Sent-THRA-12	Sent-SUCA-297	Sent-AROC-2	Sent-PURE-323	Sent-DNAN-8
Sent-ST-1060	Sent-HISD-36	Sent-HEMD-8	Sent-THRA-184	Sent-SUCA-368	Sent-AROC-202	Sent-PURE-29	Sent-DNAN-73
