stid	a1	a2	a3	a4	a5	a6	a7
Cdif-ST-163	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-23	Cdif-glyA-24	Cdif-sodA-28	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-164	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-20	Cdif-glyA-27	Cdif-sodA-29	Cdif-atpA-15	Cdif-adk-5
Cdif-ST-165	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-16	Cdif-adk-1
Cdif-ST-166	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-8	Cdif-glyA-25	Cdif-sodA-29	Cdif-atpA-15	Cdif-adk-5
Cdif-ST-167	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-22	Cdif-glyA-27	Cdif-sodA-29	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-168	Cdif-recA-15	Cdif-dxr-19	Cdif-tpi-22	Cdif-glyA-11	Cdif-sodA-29	Cdif-atpA-8	Cdif-adk-10
Cdif-ST-169	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-8	Cdif-glyA-26	Cdif-sodA-29	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-170	Cdif-recA-6	Cdif-dxr-3	Cdif-tpi-15	Cdif-glyA-8	Cdif-sodA-2	Cdif-atpA-7	Cdif-adk-9
Cdif-ST-171	Cdif-recA-3	Cdif-dxr-13	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-12	Cdif-atpA-7	Cdif-adk-1
Cdif-ST-172	Cdif-recA-1	Cdif-dxr-20	Cdif-tpi-3	Cdif-glyA-3	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-173	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-24	Cdif-glyA-11	Cdif-sodA-29	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-174	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-23	Cdif-glyA-28	Cdif-sodA-29	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-175	Cdif-recA-1	Cdif-dxr-21	Cdif-tpi-2	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-176	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-25	Cdif-glyA-9	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-177	Cdif-recA-18	Cdif-dxr-22	Cdif-tpi-28	Cdif-glyA-33	Cdif-sodA-31	Cdif-atpA-18	Cdif-adk-13
Cdif-ST-178	Cdif-recA-16	Cdif-dxr-22	Cdif-tpi-26	Cdif-glyA-29	Cdif-sodA-31	Cdif-atpA-17	Cdif-adk-13
Cdif-ST-179	Cdif-recA-17	Cdif-dxr-23	Cdif-tpi-27	Cdif-glyA-30	Cdif-sodA-31	Cdif-atpA-17	Cdif-adk-13
Cdif-ST-180	Cdif-recA-19	Cdif-dxr-22	Cdif-tpi-28	Cdif-glyA-32	Cdif-sodA-32	Cdif-atpA-19	Cdif-adk-13
Cdif-ST-181	Cdif-recA-18	Cdif-dxr-22	Cdif-tpi-26	Cdif-glyA-31	Cdif-sodA-31	Cdif-atpA-18	Cdif-adk-13
Cdif-ST-182	Cdif-recA-5	Cdif-dxr-16	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-12	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-183	Cdif-recA-1	Cdif-dxr-24	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-184	Cdif-recA-1	Cdif-dxr-25	Cdif-tpi-1	Cdif-glyA-34	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-185	Cdif-recA-5	Cdif-dxr-16	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-186	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-8	Cdif-glyA-11	Cdif-sodA-11	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-187	Cdif-recA-9	Cdif-dxr-5	Cdif-tpi-8	Cdif-glyA-13	Cdif-sodA-11	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-188	Cdif-recA-14	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-9	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-189	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-10	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-190	Cdif-recA-4	Cdif-dxr-26	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-14
Cdif-ST-191	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-35	Cdif-sodA-33	Cdif-atpA-5	Cdif-adk-1
Cdif-ST-192	Cdif-recA-1	Cdif-dxr-11	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-5	Cdif-adk-1
