stid	a1	a2	a3	a4	a5	a6	a7
Cfre-ST-37	Cfre-clpX-27	Cfre-mdh-25	Cfre-aspC-29	Cfre-arcA-19	Cfre-dnaG-25	Cfre-fadD-30	Cfre-lysP-29
Cfre-ST-38	Cfre-clpX-28	Cfre-mdh-18	Cfre-aspC-23	Cfre-arcA-18	Cfre-dnaG-26	Cfre-fadD-31	Cfre-lysP-19
Cfre-ST-39	Cfre-clpX-28	Cfre-mdh-18	Cfre-aspC-23	Cfre-arcA-14	Cfre-dnaG-26	Cfre-fadD-31	Cfre-lysP-19
Cfre-ST-40	Cfre-clpX-28	Cfre-mdh-18	Cfre-aspC-23	Cfre-arcA-20	Cfre-dnaG-26	Cfre-fadD-31	Cfre-lysP-19
Cfre-ST-41	Cfre-clpX-29	Cfre-mdh-26	Cfre-aspC-30	Cfre-arcA-21	Cfre-dnaG-27	Cfre-fadD-32	Cfre-lysP-30
Cfre-ST-42	Cfre-clpX-14	Cfre-mdh-27	Cfre-aspC-10	Cfre-arcA-5	Cfre-dnaG-5	Cfre-fadD-17	Cfre-lysP-14
Cfre-ST-43	Cfre-clpX-30	Cfre-mdh-28	Cfre-aspC-16	Cfre-arcA-21	Cfre-dnaG-28	Cfre-fadD-33	Cfre-lysP-11
Cfre-ST-44	Cfre-clpX-14	Cfre-mdh-29	Cfre-aspC-31	Cfre-arcA-18	Cfre-dnaG-9	Cfre-fadD-33	Cfre-lysP-11
Cfre-ST-45	Cfre-clpX-31	Cfre-mdh-30	Cfre-aspC-32	Cfre-arcA-6	Cfre-dnaG-1	Cfre-fadD-34	Cfre-lysP-31
Cfre-ST-46	Cfre-clpX-10	Cfre-mdh-13	Cfre-aspC-47	Cfre-arcA-7	Cfre-dnaG-6	Cfre-fadD-35	Cfre-lysP-11
Cfre-ST-47	Cfre-clpX-32	Cfre-mdh-31	Cfre-aspC-26	Cfre-arcA-17	Cfre-dnaG-22	Cfre-fadD-13	Cfre-lysP-32
Cfre-ST-48	Cfre-clpX-33	Cfre-mdh-32	Cfre-aspC-33	Cfre-arcA-22	Cfre-dnaG-29	Cfre-fadD-36	Cfre-lysP-19
Cfre-ST-49	Cfre-clpX-34	Cfre-mdh-33	Cfre-aspC-34	Cfre-arcA-23	Cfre-dnaG-30	Cfre-fadD-37	Cfre-lysP-33
Cfre-ST-50	Cfre-clpX-35	Cfre-mdh-34	Cfre-aspC-35	Cfre-arcA-15	Cfre-dnaG-31	Cfre-fadD-38	Cfre-lysP-34
Cfre-ST-51	Cfre-clpX-36	Cfre-mdh-35	Cfre-aspC-36	Cfre-arcA-19	Cfre-dnaG-32	Cfre-fadD-39	Cfre-lysP-35
Cfre-ST-52	Cfre-clpX-36	Cfre-mdh-35	Cfre-aspC-36	Cfre-arcA-24	Cfre-dnaG-33	Cfre-fadD-39	Cfre-lysP-35
Cfre-ST-53	Cfre-clpX-29	Cfre-mdh-26	Cfre-aspC-30	Cfre-arcA-25	Cfre-dnaG-27	Cfre-fadD-40	Cfre-lysP-30
Cfre-ST-54	Cfre-clpX-26	Cfre-mdh-16	Cfre-aspC-28	Cfre-arcA-18	Cfre-dnaG-6	Cfre-fadD-41	Cfre-lysP-28
Cfre-ST-55	Cfre-clpX-36	Cfre-mdh-35	Cfre-aspC-36	Cfre-arcA-5	Cfre-dnaG-32	Cfre-fadD-39	Cfre-lysP-35
Cfre-ST-56	Cfre-clpX-27	Cfre-mdh-36	Cfre-aspC-37	Cfre-arcA-14	Cfre-dnaG-25	Cfre-fadD-42	Cfre-lysP-29
Cfre-ST-57	Cfre-clpX-37	Cfre-mdh-19	Cfre-aspC-23	Cfre-arcA-14	Cfre-dnaG-34	Cfre-fadD-22	Cfre-lysP-36
Cfre-ST-58	Cfre-clpX-38	Cfre-mdh-37	Cfre-aspC-38	Cfre-arcA-24	Cfre-dnaG-32	Cfre-fadD-43	Cfre-lysP-37
