stid	a1	a2	a3	a4	a5	a6	a7
Saur-ST-2786	Saur-pta_-7	Saur-gmk_-2	Saur-glpf-350	Saur-aroe-71	Saur-arcc-18	Saur-tpi_-58	Saur-yqil-2
Saur-ST-2787	Saur-pta_-11	Saur-gmk_-15	Saur-glpf-14	Saur-aroe-1	Saur-arcc-3	Saur-tpi_-299	Saur-yqil-3
Saur-ST-2788	Saur-pta_-1	Saur-gmk_-8	Saur-glpf-1	Saur-aroe-404	Saur-arcc-267	Saur-tpi_-1	Saur-yqil-1
Saur-ST-2789	Saur-pta_-1	Saur-gmk_-1	Saur-glpf-178	Saur-aroe-49	Saur-arcc-1	Saur-tpi_-1	Saur-yqil-1
Saur-ST-2790	Saur-pta_-228	Saur-gmk_-44	Saur-glpf-309	Saur-aroe-405	Saur-arcc-263	Saur-tpi_-68	Saur-yqil-281
Saur-ST-2791	Saur-pta_-12	Saur-gmk_-8	Saur-glpf-1	Saur-aroe-1	Saur-arcc-3	Saur-tpi_-1	Saur-yqil-1
Saur-ST-2792	Saur-pta_-20	Saur-gmk_-2	Saur-glpf-351	Saur-aroe-35	Saur-arcc-3	Saur-tpi_-26	Saur-yqil-39
Saur-ST-2793	Saur-pta_-256	Saur-gmk_-34	Saur-glpf-321	Saur-aroe-406	Saur-arcc-151	Saur-tpi_-261	Saur-yqil-323
Saur-ST-2794	Saur-pta_-1	Saur-gmk_-211	Saur-glpf-1	Saur-aroe-1	Saur-arcc-1	Saur-tpi_-1	Saur-yqil-1
Saur-ST-2795	Saur-pta_-12	Saur-gmk_-1	Saur-glpf-352	Saur-aroe-13	Saur-arcc-13	Saur-tpi_-11	Saur-yqil-13
Saur-ST-2796	Saur-pta_-13	Saur-gmk_-2	Saur-glpf-6	Saur-aroe-18	Saur-arcc-299	Saur-tpi_-15	Saur-yqil-18
Saur-ST-2797	Saur-pta_-5	Saur-gmk_-212	Saur-glpf-4	Saur-aroe-1	Saur-arcc-4	Saur-tpi_-5	Saur-yqil-4
Saur-ST-2798	Saur-pta_-7	Saur-gmk_-2	Saur-glpf-6	Saur-aroe-5	Saur-arcc-6	Saur-tpi_-14	Saur-yqil-324
Saur-ST-2799	Saur-pta_-308	Saur-gmk_-8	Saur-glpf-1	Saur-aroe-4	Saur-arcc-1	Saur-tpi_-4	Saur-yqil-3
Saur-ST-2800	Saur-pta_-19	Saur-gmk_-2	Saur-glpf-15	Saur-aroe-23	Saur-arcc-19	Saur-tpi_-300	Saur-yqil-15
Saur-ST-2801	Saur-pta_-4	Saur-gmk_-213	Saur-glpf-1	Saur-aroe-3	Saur-arcc-3	Saur-tpi_-4	Saur-yqil-3
