stid	a1	a2	a3	a4	a5	a6	a7
Ecol-ST-37	Ecol-MDH-5	Ecol-GYRB-20	Ecol-RECA-18	Ecol-ICD-6	Ecol-PURA-17	Ecol-FUMC-22	Ecol-ADK-21
Ecol-ST-38	Ecol-MDH-5	Ecol-GYRB-2	Ecol-RECA-19	Ecol-ICD-25	Ecol-PURA-5	Ecol-FUMC-26	Ecol-ADK-4
Ecol-ST-39	Ecol-MDH-24	Ecol-GYRB-21	Ecol-RECA-7	Ecol-ICD-10	Ecol-PURA-18	Ecol-FUMC-4	Ecol-ADK-22
Ecol-ST-40	Ecol-MDH-20	Ecol-GYRB-5	Ecol-RECA-14	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-41	Ecol-MDH-25	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-7	Ecol-FUMC-27	Ecol-ADK-10
Ecol-ST-42	Ecol-MDH-5	Ecol-GYRB-22	Ecol-RECA-4	Ecol-ICD-27	Ecol-PURA-16	Ecol-FUMC-28	Ecol-ADK-23
Ecol-ST-43	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-24
Ecol-ST-44	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-45	Ecol-MDH-8	Ecol-GYRB-23	Ecol-RECA-2	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-7	Ecol-ADK-6
Ecol-ST-46	Ecol-MDH-8	Ecol-GYRB-1	Ecol-RECA-6	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-7	Ecol-ADK-8
Ecol-ST-47	Ecol-MDH-7	Ecol-GYRB-5	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-18	Ecol-FUMC-11	Ecol-ADK-8
Ecol-ST-48	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-6
Ecol-ST-49	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-25
Ecol-ST-50	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-7	Ecol-ADK-26
Ecol-ST-51	Ecol-MDH-17	Ecol-GYRB-1	Ecol-RECA-20	Ecol-ICD-13	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-52	Ecol-MDH-20	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-6
Ecol-ST-53	Ecol-MDH-11	Ecol-GYRB-12	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-13	Ecol-FUMC-29	Ecol-ADK-9
Ecol-ST-54	Ecol-MDH-24	Ecol-GYRB-5	Ecol-RECA-21	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-30	Ecol-ADK-6
Ecol-ST-55	Ecol-MDH-20	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-56	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-18	Ecol-PURA-5	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-57	Ecol-MDH-1	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-28	Ecol-PURA-1	Ecol-FUMC-31	Ecol-ADK-6
Ecol-ST-58	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-59	Ecol-MDH-26	Ecol-GYRB-24	Ecol-RECA-22	Ecol-ICD-29	Ecol-PURA-19	Ecol-FUMC-32	Ecol-ADK-27
Ecol-ST-60	Ecol-MDH-26	Ecol-GYRB-24	Ecol-RECA-2	Ecol-ICD-29	Ecol-PURA-20	Ecol-FUMC-33	Ecol-ADK-28
Ecol-ST-61	Ecol-MDH-15	Ecol-GYRB-8	Ecol-RECA-23	Ecol-ICD-12	Ecol-PURA-2	Ecol-FUMC-12	Ecol-ADK-29
Ecol-ST-62	Ecol-MDH-7	Ecol-GYRB-25	Ecol-RECA-24	Ecol-ICD-29	Ecol-PURA-11	Ecol-FUMC-33	Ecol-ADK-28
Ecol-ST-63	Ecol-MDH-7	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-21	Ecol-FUMC-11	Ecol-ADK-30
Ecol-ST-64	Ecol-MDH-27	Ecol-GYRB-26	Ecol-RECA-17	Ecol-ICD-30	Ecol-PURA-22	Ecol-FUMC-34	Ecol-ADK-31
Ecol-ST-65	Ecol-MDH-1	Ecol-GYRB-25	Ecol-RECA-2	Ecol-ICD-29	Ecol-PURA-11	Ecol-FUMC-33	Ecol-ADK-28
