stid	a1	a2	a3	a4	a5	a6	a7
Koxy-ST-58	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-4
Koxy-ST-59	Koxy-gapA-2	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-27	Koxy-rpoB-1	Koxy-phoE-2
Koxy-ST-60	Koxy-gapA-5	Koxy-mdh-19	Koxy-tonB-26	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-7	Koxy-phoE-31
Koxy-ST-61	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-28	Koxy-rpoB-1	Koxy-phoE-16
Koxy-ST-62	Koxy-gapA-4	Koxy-mdh-26	Koxy-tonB-6	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-5	Koxy-phoE-15
Koxy-ST-63	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-9
Koxy-ST-64	Koxy-gapA-10	Koxy-mdh-27	Koxy-tonB-27	Koxy-infB-8	Koxy-pgi-29	Koxy-rpoB-6	Koxy-phoE-32
Koxy-ST-65	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-7	Koxy-pgi-30	Koxy-rpoB-21	Koxy-phoE-4
Koxy-ST-66	Koxy-gapA-3	Koxy-mdh-15	Koxy-tonB-28	Koxy-infB-4	Koxy-pgi-4	Koxy-rpoB-22	Koxy-phoE-33
Koxy-ST-67	Koxy-gapA-11	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-19	Koxy-pgi-2	Koxy-rpoB-1	Koxy-phoE-34
Koxy-ST-68	Koxy-gapA-12	Koxy-mdh-17	Koxy-tonB-29	Koxy-infB-8	Koxy-pgi-21	Koxy-rpoB-17	Koxy-phoE-20
Koxy-ST-69	Koxy-gapA-5	Koxy-mdh-18	Koxy-tonB-9	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-23	Koxy-phoE-15
Koxy-ST-70	Koxy-gapA-3	Koxy-mdh-28	Koxy-tonB-30	Koxy-infB-20	Koxy-pgi-29	Koxy-rpoB-19	Koxy-phoE-35
Koxy-ST-71	Koxy-gapA-5	Koxy-mdh-19	Koxy-tonB-6	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-5	Koxy-phoE-36
Koxy-ST-72	Koxy-gapA-4	Koxy-mdh-19	Koxy-tonB-31	Koxy-infB-6	Koxy-pgi-6	Koxy-rpoB-24	Koxy-phoE-15
Koxy-ST-73	Koxy-gapA-5	Koxy-mdh-19	Koxy-tonB-6	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-5	Koxy-phoE-37
Koxy-ST-74	Koxy-gapA-5	Koxy-mdh-19	Koxy-tonB-32	Koxy-infB-6	Koxy-pgi-11	Koxy-rpoB-7	Koxy-phoE-15
Koxy-ST-75	Koxy-gapA-4	Koxy-mdh-19	Koxy-tonB-6	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-5	Koxy-phoE-15
