stid	a1	a2	a3	a4	a5	a6	a7
Paer-ST-100	Paer-mut-3	Paer-gua-17	Paer-acs-33	Paer-nuo-4	Paer-trp-7	Paer-pps-12	Paer-aro-3
Paer-ST-101	Paer-mut-3	Paer-gua-5	Paer-acs-7	Paer-nuo-3	Paer-trp-19	Paer-pps-14	Paer-aro-22
Paer-ST-102	Paer-mut-3	Paer-gua-5	Paer-acs-15	Paer-nuo-4	Paer-trp-3	Paer-pps-4	Paer-aro-5
Paer-ST-103	Paer-mut-22	Paer-gua-12	Paer-acs-17	Paer-nuo-14	Paer-trp-29	Paer-pps-22	Paer-aro-5
Paer-ST-104	Paer-mut-3	Paer-gua-16	Paer-acs-4	Paer-nuo-1	Paer-trp-30	Paer-pps-6	Paer-aro-4
Paer-ST-105	Paer-mut-3	Paer-gua-4	Paer-acs-42	Paer-nuo-18	Paer-trp-7	Paer-pps-4	Paer-aro-28
Paer-ST-106	Paer-mut-23	Paer-gua-11	Paer-acs-22	Paer-nuo-1	Paer-trp-3	Paer-pps-3	Paer-aro-20
Paer-ST-107	Paer-mut-21	Paer-gua-16	Paer-acs-4	Paer-nuo-1	Paer-trp-1	Paer-pps-6	Paer-aro-4
Paer-ST-108	Paer-mut-5	Paer-gua-20	Paer-acs-39	Paer-nuo-1	Paer-trp-31	Paer-pps-6	Paer-aro-5
Paer-ST-109	Paer-mut-24	Paer-gua-16	Paer-acs-4	Paer-nuo-1	Paer-trp-3	Paer-pps-6	Paer-aro-4
Paer-ST-110	Paer-mut-3	Paer-gua-1	Paer-acs-15	Paer-nuo-2	Paer-trp-7	Paer-pps-12	Paer-aro-5
Paer-ST-111	Paer-mut-4	Paer-gua-5	Paer-acs-17	Paer-nuo-4	Paer-trp-3	Paer-pps-4	Paer-aro-5
Paer-ST-112	Paer-mut-25	Paer-gua-1	Paer-acs-6	Paer-nuo-1	Paer-trp-1	Paer-pps-12	Paer-aro-5
Paer-ST-113	Paer-mut-4	Paer-gua-5	Paer-acs-17	Paer-nuo-19	Paer-trp-3	Paer-pps-4	Paer-aro-5
Paer-ST-114	Paer-mut-3	Paer-gua-11	Paer-acs-28	Paer-nuo-85	Paer-trp-91	Paer-pps-6	Paer-aro-5
Paer-ST-115	Paer-mut-11	Paer-gua-36	Paer-acs-28	Paer-nuo-4	Paer-trp-7	Paer-pps-42	Paer-aro-5
Paer-ST-116	Paer-mut-18	Paer-gua-22	Paer-acs-28	Paer-nuo-3	Paer-trp-7	Paer-pps-15	Paer-aro-24
Paer-ST-117	Paer-mut-3	Paer-gua-11	Paer-acs-28	Paer-nuo-1	Paer-trp-5	Paer-pps-15	Paer-aro-48
Paer-ST-118	Paer-mut-3	Paer-gua-4	Paer-acs-6	Paer-nuo-20	Paer-trp-7	Paer-pps-4	Paer-aro-6
Paer-ST-119	Paer-mut-7	Paer-gua-6	Paer-acs-6	Paer-nuo-3	Paer-trp-7	Paer-pps-6	Paer-aro-5
Paer-ST-120	Paer-mut-7	Paer-gua-6	Paer-acs-6	Paer-nuo-4	Paer-trp-7	Paer-pps-6	Paer-aro-22
Paer-ST-121	Paer-mut-3	Paer-gua-5	Paer-acs-17	Paer-nuo-1	Paer-trp-3	Paer-pps-14	Paer-aro-5
Paer-ST-122	Paer-mut-27	Paer-gua-7	Paer-acs-6	Paer-nuo-1	Paer-trp-33	Paer-pps-7	Paer-aro-5
Paer-ST-123	Paer-mut-1	Paer-gua-5	Paer-acs-17	Paer-nuo-1	Paer-trp-2	Paer-pps-12	Paer-aro-5
Paer-ST-124	Paer-mut-4	Paer-gua-5	Paer-acs-24	Paer-nuo-4	Paer-trp-3	Paer-pps-4	Paer-aro-8
Paer-ST-125	Paer-mut-1	Paer-gua-28	Paer-acs-36	Paer-nuo-1	Paer-trp-1	Paer-pps-7	Paer-aro-1
Paer-ST-126	Paer-mut-13	Paer-gua-5	Paer-acs-5	Paer-nuo-1	Paer-trp-4	Paer-pps-13	Paer-aro-27
Paer-ST-127	Paer-mut-26	Paer-gua-31	Paer-acs-43	Paer-nuo-4	Paer-trp-32	Paer-pps-24	Paer-aro-30
