stid	a1	a2	a3	a4	a5	a6	a7
Cjej-ST-4172	Cjej-aspA-33	Cjej-glnA-38	Cjej-pgm-104	Cjej-tkt-43	Cjej-glyA-81	Cjej-uncA-17	Cjej-gltA-30
Cjej-ST-4173	Cjej-aspA-33	Cjej-glnA-39	Cjej-pgm-113	Cjej-tkt-47	Cjej-glyA-82	Cjej-uncA-17	Cjej-gltA-44
Cjej-ST-4174	Cjej-aspA-32	Cjej-glnA-39	Cjej-pgm-118	Cjej-tkt-43	Cjej-glyA-82	Cjej-uncA-36	Cjej-gltA-30
Cjej-ST-4175	Cjej-aspA-33	Cjej-glnA-39	Cjej-pgm-113	Cjej-tkt-47	Cjej-glyA-375	Cjej-uncA-17	Cjej-gltA-30
Cjej-ST-4176	Cjej-aspA-33	Cjej-glnA-153	Cjej-pgm-113	Cjej-tkt-43	Cjej-glyA-82	Cjej-uncA-17	Cjej-gltA-30
Cjej-ST-4177	Cjej-aspA-27	Cjej-glnA-33	Cjej-pgm-43	Cjej-tkt-20	Cjej-glyA-49	Cjej-uncA-1	Cjej-gltA-10
Cjej-ST-4178	Cjej-aspA-9	Cjej-glnA-2	Cjej-pgm-11	Cjej-tkt-3	Cjej-glyA-10	Cjej-uncA-105	Cjej-gltA-5
Cjej-ST-4179	Cjej-aspA-8	Cjej-glnA-2	Cjej-pgm-11	Cjej-tkt-7	Cjej-glyA-4	Cjej-uncA-105	Cjej-gltA-5
Cjej-ST-4180	Cjej-aspA-4	Cjej-glnA-7	Cjej-pgm-224	Cjej-tkt-51	Cjej-glyA-4	Cjej-uncA-1	Cjej-gltA-40
Cjej-ST-4181	Cjej-aspA-7	Cjej-glnA-1	Cjej-pgm-11	Cjej-tkt-28	Cjej-glyA-10	Cjej-uncA-6	Cjej-gltA-5
Cjej-ST-4182	Cjej-aspA-7	Cjej-glnA-2	Cjej-pgm-156	Cjej-tkt-3	Cjej-glyA-2	Cjej-uncA-5	Cjej-gltA-5
Cjej-ST-4183	Cjej-aspA-1	Cjej-glnA-10	Cjej-pgm-12	Cjej-tkt-28	Cjej-glyA-24	Cjej-uncA-1	Cjej-gltA-22
Cjej-ST-4184	Cjej-aspA-7	Cjej-glnA-17	Cjej-pgm-10	Cjej-tkt-3	Cjej-glyA-2	Cjej-uncA-26	Cjej-gltA-12
Cjej-ST-4185	Cjej-aspA-10	Cjej-glnA-2	Cjej-pgm-91	Cjej-tkt-367	Cjej-glyA-62	Cjej-uncA-45	Cjej-gltA-50
Cjej-ST-4186	Cjej-aspA-1	Cjej-glnA-6	Cjej-pgm-40	Cjej-tkt-180	Cjej-glyA-176	Cjej-uncA-3	Cjej-gltA-137
Cjej-ST-4187	Cjej-aspA-2	Cjej-glnA-59	Cjej-pgm-126	Cjej-tkt-29	Cjej-glyA-48	Cjej-uncA-23	Cjej-gltA-4
Cjej-ST-4188	Cjej-aspA-37	Cjej-glnA-52	Cjej-pgm-129	Cjej-tkt-29	Cjej-glyA-371	Cjej-uncA-23	Cjej-gltA-57
Cjej-ST-4189	Cjej-aspA-10	Cjej-glnA-6	Cjej-pgm-40	Cjej-tkt-32	Cjej-glyA-176	Cjej-uncA-3	Cjej-gltA-137
Cjej-ST-4190	Cjej-aspA-18	Cjej-glnA-22	Cjej-pgm-116	Cjej-tkt-86	Cjej-glyA-98	Cjej-uncA-16	Cjej-gltA-165
Cjej-ST-4191	Cjej-aspA-10	Cjej-glnA-7	Cjej-pgm-42	Cjej-tkt-7	Cjej-glyA-4	Cjej-uncA-21	Cjej-gltA-10
