stid	a1	a2	a3	a4	a5	a6	a7
Ngon-ST-11669	Ngon-pgm-196	Ngon-fumC-66	Ngon-aroE-36	Ngon-gdh-625	Ngon-pdhC-218	Ngon-adk-190	Ngon-abcZ-61
Ngon-ST-11670	Ngon-pgm-164	Ngon-fumC-108	Ngon-aroE-39	Ngon-gdh-88	Ngon-pdhC-44	Ngon-adk-43	Ngon-abcZ-88
Ngon-ST-11671	Ngon-pgm-159	Ngon-fumC-735	Ngon-aroE-96	Ngon-gdh-142	Ngon-pdhC-82	Ngon-adk-43	Ngon-abcZ-74
Ngon-ST-11672	Ngon-pgm-164	Ngon-fumC-50	Ngon-aroE-39	Ngon-gdh-88	Ngon-pdhC-42	Ngon-adk-43	Ngon-abcZ-88
Ngon-ST-11673	Ngon-pgm-65	Ngon-fumC-78	Ngon-aroE-67	Ngon-gdh-747	Ngon-pdhC-71	Ngon-adk-39	Ngon-abcZ-59
Ngon-ST-11674	Ngon-pgm-65	Ngon-fumC-156	Ngon-aroE-67	Ngon-gdh-147	Ngon-pdhC-71	Ngon-adk-39	Ngon-abcZ-59
Ngon-ST-11675	Ngon-pgm-133	Ngon-fumC-156	Ngon-aroE-67	Ngon-gdh-148	Ngon-pdhC-71	Ngon-adk-39	Ngon-abcZ-59
Ngon-ST-11676	Ngon-pgm-65	Ngon-fumC-156	Ngon-aroE-67	Ngon-gdh-188	Ngon-pdhC-766	Ngon-adk-39	Ngon-abcZ-59
Ngon-ST-11677	Ngon-pgm-133	Ngon-fumC-156	Ngon-aroE-67	Ngon-gdh-745	Ngon-pdhC-71	Ngon-adk-39	Ngon-abcZ-59
Ngon-ST-11678	Ngon-pgm-133	Ngon-fumC-156	Ngon-aroE-67	Ngon-gdh-749	Ngon-pdhC-71	Ngon-adk-39	Ngon-abcZ-59
Ngon-ST-11679	Ngon-pgm-777	Ngon-fumC-157	Ngon-aroE-67	Ngon-gdh-750	Ngon-pdhC-153	Ngon-adk-39	Ngon-abcZ-59
Ngon-ST-11680	Ngon-pgm-65	Ngon-fumC-190	Ngon-aroE-67	Ngon-gdh-147	Ngon-pdhC-71	Ngon-adk-39	Ngon-abcZ-59
